Sentence,Entity,Output
Phichit is where I live,Location,Phichit
In Kanchanaburi right now,Location,Kanchanaburi
I'm in the mood for Grúz,Cuisine,Grúz
I have around 236 for the meal,Money,236
I'm craving ຕາເວັນອອກກາງ,Cuisine,ຕາເວັນອອກກາງ
I would like ວີເກັນ cuisine,Cuisine,ວີເກັນ
I'm looking for something within 747,Money,747
Living in Budakalász,Location,Budakalász
Melaka is my location,Location,Melaka
Let's go for Thai,Cuisine,Thai
I have around 525 for the meal,Money,525
I'm in the mood for Chicken,Cuisine,Chicken
I would like Ramen cuisine,Cuisine,Ramen
Let's go for ລາວ,Cuisine,ລາວ
I love Nasi Kukus food,Cuisine,Nasi Kukus
I'm in the mood for Middle Eastern,Cuisine,Middle Eastern
I'm ready to spend 766,Money,766
I'm willing to pay 356,Money,356
I am currently living in Debrecen,Location,Debrecen
I can spend up to 423,Money,423
Currently in Ubon Ratchathani,Location,Ubon Ratchathani
I live in Szombathely,Location,Szombathely
I have around 872 for the meal,Money,872
My budget is 304,Money,304
I live in Bangkok,Location,Bangkok
I have 154 to spend,Money,154
My location is Kampong Cham,Location,Kampong Cham
I enjoy Drinks,Cuisine,Drinks
Aungpan is my home,Location,Aungpan
Xiengkhuang is my home,Location,Xiengkhuang
My budget is 329,Money,329
I reside in Phitsanulok,Location,Phitsanulok
I live in Munshiganj,Location,Munshiganj
I can spend up to 758,Money,758
My favorite is Szerb,Cuisine,Szerb
Nong Bua Lam Phu is my place,Location,Nong Bua Lam Phu
I would like အရှေ့အလယ်ပိုင်းအစားအစာ cuisine,Cuisine,အရှေ့အလယ်ပိုင်းအစားအစာ
Currently in New Taipei City,Location,New Taipei City
How about Ramen,Cuisine,Ramen
Living in Jerantut,Location,Jerantut
I enjoy Coffee,Cuisine,Coffee
I'm comfortable spending 439,Money,439
I can afford 649,Money,649
Debrecen is my current location,Location,Debrecen
Currently in Hong Kong,Location,Hong Kong
Pécs is my place,Location,Pécs
I'm interested in အာရှ,Cuisine,အာရှ
From Banská Bystrica here,Location,Banská Bystrica
I'm comfortable spending 824,Money,824
Let's go for Sandwich,Cuisine,Sandwich
My budget is 545,Money,545
I want to try Muslim Cuisine,Cuisine,Muslim Cuisine
I'm in the mood for ဘာဂါများ,Cuisine,ဘာဂါများ
My budget is 411,Money,411
I reside in Kota Tinggi,Location,Kota Tinggi
I can afford 172,Money,172
Nakhon Nayok is my location,Location,Nakhon Nayok
Hailing from Feni,Location,Feni
My favorite is Italian,Cuisine,Italian
I'm comfortable spending 631,Money,631
My home Nyíregyháza is Nyíregyháza,Location,Nyíregyháza
Let's go for Cha Chaan Teng,Cuisine,Cha Chaan Teng
Sargodha is my current Sargodha,Location,Sargodha
I'm comfortable spending 75,Money,75
I'm looking for something within 389,Money,389
Preah Sihanouk is my location,Location,Preah Sihanouk
I can spend up to 851,Money,851
I enjoy အသုပ်များ,Cuisine,အသုပ်များ
I reside in Taung Gyi,Location,Taung Gyi
My favorite is 韓式,Cuisine,韓式
How about ອາຫານຈີນ,Cuisine,ອາຫານຈີນ
I'm in the mood for ເຄື່ອງດື່ມ,Cuisine,ເຄື່ອງດື່ມ
I reside in Kanchanaburi,Location,Kanchanaburi
I'm in Chiayi City,Location,Chiayi City
I would like Steak cuisine,Cuisine,Steak
I'm craving Chicken,Cuisine,Chicken
In Szeged right now,Location,Szeged
I'm in the mood for ဒင်ဆမ်း,Cuisine,ဒင်ဆမ်း
Kulim is my place,Location,Kulim
I love Lechon food,Cuisine,Lechon
Let's go for Pares,Cuisine,Pares
Okara is my location,Location,Okara
Hailing from Dagupan Pangasinan,Location,Dagupan Pangasinan
My favorite is အရှေ့အလယ်ပိုင်းအစားအစာ,Cuisine,အရှေ့အလယ်ပိုင်းအစားအစာ
How about 日式,Cuisine,日式
New Taipei City is my place,Location,New Taipei City
Dera Ghazi Khan is my current Dera Ghazi Khan,Location,Dera Ghazi Khan
I'm willing to pay 164,Money,164
Currently in Sitiawan,Location,Sitiawan
I would like ဟင်းလျာ cuisine,Cuisine,ဟင်းလျာ
I reside in Jerantut,Location,Jerantut
I'm in Kamphaeng Phet,Location,Kamphaeng Phet
I'm interested in Beverage,Cuisine,Beverage
I enjoy Argentín,Cuisine,Argentín
From Sukkur here,Location,Sukkur
I'm located in Siem Reap,Location,Siem Reap
My home Oudomxay is Oudomxay,Location,Oudomxay
I want to try Grill,Cuisine,Grill
I'm in Trang,Location,Trang
Hyderabad is my current Hyderabad,Location,Hyderabad
I have around 416 for the meal,Money,416
How about Juice,Cuisine,Juice
Bintulu is my location,Location,Bintulu
I'm interested in Chicken Rice,Cuisine,Chicken Rice
I'm in the mood for Americká,Cuisine,Americká
I am currently living in Nong Khai,Location,Nong Khai
I'm located in Takeo,Location,Takeo
I want to try Mediterranean,Cuisine,Mediterranean
I'm craving Juice Corner,Cuisine,Juice Corner
My current Lakshmipur is Lakshmipur,Location,Lakshmipur
Silog is my favorite,Cuisine,Silog
I have 623 to spend,Money,623
I can spend up to 123,Money,123
Oudomxay is my current Oudomxay,Location,Oudomxay
I'm comfortable spending 112,Money,112
အရှေ့အလယ်ပိုင်းအစားအစာ is my favorite,Cuisine,အရှေ့အလယ်ပိုင်းအစားအစာ
I live in Pécs,Location,Pécs
I'm comfortable spending 938,Money,938
Let's go for အာရှ,Cuisine,အာရှ
I'm interested in စွပ်ပြုတ်များ,Cuisine,စွပ်ပြုတ်များ
I can afford 67,Money,67
I'm comfortable spending 279,Money,279
I want to spend around 162,Money,162
In Brahmanbaria right now,Location,Brahmanbaria
I'm craving ဟင်းလျာ,Cuisine,ဟင်းလျာ
I would like Chicken Wings cuisine,Cuisine,Chicken Wings
I'm in the mood for Dessert,Cuisine,Dessert
I'm ready to spend 186,Money,186
I have 267 to spend,Money,267
My favorite is Fried Rice,Cuisine,Fried Rice
I love ຝຣັ່ງ food,Cuisine,ຝຣັ່ງ
I want to spend around 907,Money,907
Sibu is where I live,Location,Sibu
I'm ready to spend 811,Money,811
I'm interested in Drinks,Cuisine,Drinks
How about Dim Sum,Cuisine,Dim Sum
Udon Thani is where I reside,Location,Udon Thani
Living in Tak,Location,Tak
I have around 326 for the meal,Money,326
My budget is 895,Money,895
I'm ready to spend 541,Money,541
I am currently living in Kluang,Location,Kluang
I'm craving Cakes & Bakery,Cuisine,Cakes & Bakery
I am currently living in Manila,Location,Manila
I would like Indian cuisine,Cuisine,Indian
I'm looking for something within 186,Money,186
I'm in the mood for ရောနှောအစားအစာ,Cuisine,ရောနှောအစားအစာ
I would like Čínska cuisine,Cuisine,Čínska
My budget is 958,Money,958
How about Orosz,Cuisine,Orosz
My favorite is 甜點,Cuisine,甜點
Xayaboury is where I reside,Location,Xayaboury
I reside in Phrae,Location,Phrae
Living in Krabi,Location,Krabi
I can afford 33,Money,33
My favorite is Turkish,Cuisine,Turkish
I want to try ပင်လယ်စာ,Cuisine,ပင်လယ်စာ
I have 988 to spend,Money,988
My current Keelung City is Keelung City,Location,Keelung City
I can afford 861,Money,861
My budget is 189,Money,189
Hong Kong is where I live,Location,Hong Kong
How about ເບີເກີ,Cuisine,ເບີເກີ
Nan is my location,Location,Nan
I would like အရှေ့အလယ်ပိုင်းအစားအစာ cuisine,Cuisine,အရှေ့အလယ်ပိုင်းအစားအစာ
I want to spend around 520,Money,520
My current Khulna is Khulna,Location,Khulna
I have around 916 for the meal,Money,916
My favorite is ငါး,Cuisine,ငါး
In Sherpur right now,Location,Sherpur
I'm interested in ຊານົມໄຂ່ມຸກ,Cuisine,ຊານົມໄຂ່ມຸກ
Hailing from Taung Gyi,Location,Taung Gyi
Gazipur is my current location,Location,Gazipur
Let's go for တရုတ်အစားအစာ,Cuisine,တရုတ်အစားအစာ
I'm comfortable spending 622,Money,622
Penghu County is my current Penghu County,Location,Penghu County
I'm ready to spend 304,Money,304
I'm ready to spend 148,Money,148
I would like Greek cuisine,Cuisine,Greek
From Koronadal South Cotabato here,Location,Koronadal South Cotabato
I'm comfortable spending 287,Money,287
I'm comfortable spending 502,Money,502
I have around 876 for the meal,Money,876
I would like ຕາເວັນອອກກາງ cuisine,Cuisine,ຕາເວັນອອກກາງ
My favorite is 飲料,Cuisine,飲料
I love Rice Noodles food,Cuisine,Rice Noodles
I would like Vegan cuisine,Cuisine,Vegan
I love ອາຫານທະເລ food,Cuisine,ອາຫານທະເລ
I want to try ဆူရှီ,Cuisine,ဆူရှီ
Let's go for Ramen,Cuisine,Ramen
I would like Healthy Food cuisine,Cuisine,Healthy Food
I reside in Rangpur,Location,Rangpur
I enjoy Fast food,Cuisine,Fast food
I'm craving 中式,Cuisine,中式
Currently in Mardan,Location,Mardan
I would like Görög cuisine,Cuisine,Görög
I'm ready to spend 67,Money,67
My location is Trang,Location,Trang
Hailing from Budapest,Location,Budapest
Prachuap Khiri Khan is my location,Location,Prachuap Khiri Khan
I can spend up to 983,Money,983
Sherpur is my current location,Location,Sherpur
I enjoy Vegetarian,Cuisine,Vegetarian
Bangkok is where I reside,Location,Bangkok
I'm willing to pay 907,Money,907
I'm comfortable spending 789,Money,789
My favorite is Tea,Cuisine,Tea
I live in Dera Ghazi Khan,Location,Dera Ghazi Khan
Nakhon Phanom is my home,Location,Nakhon Phanom
I have around 76 for the meal,Money,76
Hailing from Alor Setar,Location,Alor Setar
I can spend up to 272,Money,272
I'm ready to spend 412,Money,412
My home Samut Prakan is Samut Prakan,Location,Samut Prakan
My home Taguig City is Taguig City,Location,Taguig City
Barisal is my place,Location,Barisal
I can spend up to 721,Money,721
I want to spend around 831,Money,831
My current Zvolen is Zvolen,Location,Zvolen
I would like Pakistani cuisine,Cuisine,Pakistani
Let's go for အာရှ,Cuisine,အာရှ
Hailing from Rahim Yar Khan,Location,Rahim Yar Khan
I have around 535 for the meal,Money,535
I'm in the mood for Tea,Cuisine,Tea
I would like Pizza cuisine,Cuisine,Pizza
I can afford 856,Money,856
My current Moulvibazar is Moulvibazar,Location,Moulvibazar
I have 389 to spend,Money,389
I have 798 to spend,Money,798
My favorite is Dumpling,Cuisine,Dumpling
I'm looking for something within 725,Money,725
My favorite is ကြက်ကြော်,Cuisine,ကြက်ကြော်
I reside in Muntinlupa City,Location,Muntinlupa City
In Kuantan right now,Location,Kuantan
I reside in Rahim Yar Khan,Location,Rahim Yar Khan
I am currently living in Abbottabad,Location,Abbottabad
Pécs is my place,Location,Pécs
Meat is my favorite,Cuisine,Meat
I'm comfortable spending 421,Money,421
Nong Bua Lam Phu is where I reside,Location,Nong Bua Lam Phu
I'm ready to spend 678,Money,678
I'm in Rangpur,Location,Rangpur
Kinmen County is my place,Location,Kinmen County
Jessore is my current Jessore,Location,Jessore
My budget is 248,Money,248
I'm in Faridpur,Location,Faridpur
I have around 335 for the meal,Money,335
I love ຕາເວັນອອກກາງ food,Cuisine,ຕາເວັນອອກກາງ
I want to try Healthy Food,Cuisine,Healthy Food
I can afford 748,Money,748
I enjoy Sandwich,Cuisine,Sandwich
I'm in Nakhon Nayok,Location,Nakhon Nayok
I'm ready to spend 635,Money,635
Chachoengsao is where I reside,Location,Chachoengsao
I want to spend around 107,Money,107
Hailing from Dagupan Pangasinan,Location,Dagupan Pangasinan
I want to try Pakistani,Cuisine,Pakistani
My favorite is Laksa,Cuisine,Laksa
Living in Gödöllő,Location,Gödöllő
I can afford 279,Money,279
I'm in the mood for Szendvics,Cuisine,Szendvics
I'm craving Halal,Cuisine,Halal
I want to spend around 611,Money,611
I would like Cakes & Bakery cuisine,Cuisine,Cakes & Bakery
I would like HK Dessert cuisine,Cuisine,HK Dessert
Dhaka is where I live,Location,Dhaka
I'm comfortable spending 626,Money,626
I'm interested in Cafe,Cuisine,Cafe
Let's go for Spanish,Cuisine,Spanish
I want to spend around 518,Money,518
Hailing from Muallim,Location,Muallim
I'm interested in ເບີເກີ,Cuisine,ເບີເກີ
I'm looking for something within 558,Money,558
I'm located in Chittagong,Location,Chittagong
My favorite is Porridge,Cuisine,Porridge
Rangpur is my current Rangpur,Location,Rangpur
Phuket is my home,Location,Phuket
I want to try အသားညှပ်ပေါင်မုန့်,Cuisine,အသားညှပ်ပေါင်မုန့်
I live in Siem Reap,Location,Siem Reap
My current Satkhira is Satkhira,Location,Satkhira
Fruit Shake is my favorite,Cuisine,Fruit Shake
How about Cafe,Cuisine,Cafe
I reside in Sukkur,Location,Sukkur
I want to spend around 586,Money,586
I'm willing to pay 504,Money,504
Sialkot is my current Sialkot,Location,Sialkot
I can afford 201,Money,201
I'm comfortable spending 678,Money,678
Let's go for Alcohol,Cuisine,Alcohol
Let's go for Vietnámi,Cuisine,Vietnámi
I'm comfortable spending 899,Money,899
I'm interested in Cafe,Cuisine,Cafe
I love ຂອງຫວານ food,Cuisine,ຂອງຫວານ
I have 139 to spend,Money,139
I can spend up to 536,Money,536
I'm interested in Pakistani,Cuisine,Pakistani
I'm craving ອາເມລິກາ,Cuisine,ອາເມລິກາ
I'm ready to spend 132,Money,132
I'm looking for ເຢຍລະມັນ,Cuisine,ເຢຍລະມັນ
I want to spend around 314,Money,314
I enjoy Alcohol,Cuisine,Alcohol
Faridpur is my place,Location,Faridpur
Sialkot is my current location,Location,Sialkot
How about Soups,Cuisine,Soups
I have 72 to spend,Money,72
I'm craving Nápoje,Cuisine,Nápoje
Nasi Kukus is my favorite,Cuisine,Nasi Kukus
I'm located in Buriram,Location,Buriram
My favorite is Milk Tea,Cuisine,Milk Tea
My budget is 526,Money,526
I am currently living in Seremban,Location,Seremban
I would like Indonesian cuisine,Cuisine,Indonesian
My budget is 806,Money,806
I can spend up to 615,Money,615
Hailing from Seremban,Location,Seremban
My budget is 584,Money,584
Poipet is my current location,Location,Poipet
My favorite is ຂອງຫວານ,Cuisine,ຂອງຫວານ
I'm willing to pay 708,Money,708
British is my favorite,Cuisine,British
I'm looking for something within 876,Money,876
I'm interested in Siomai,Cuisine,Siomai
Uttaradit is my place,Location,Uttaradit
I want to try Grécka,Cuisine,Grécka
From Makati City here,Location,Makati City
Sargodha is my current location,Location,Sargodha
I want to spend around 675,Money,675
I have 564 to spend,Money,564
How about 港式,Cuisine,港式
Living in Phuket,Location,Phuket
I have around 57 for the meal,Money,57
My home Terengganu is Terengganu,Location,Terengganu
I can spend up to 129,Money,129
I'm looking for something within 52,Money,52
I love Dezerty food,Cuisine,Dezerty
I reside in Barguna,Location,Barguna
I'm looking for something within 157,Money,157
My home Nan is Nan,Location,Nan
My budget is 927,Money,927
I'm craving ပင်လယ်စာ,Cuisine,ပင်လယ်စာ
How about Cantonese,Cuisine,Cantonese
I'm willing to pay 969,Money,969
My budget is 807,Money,807
My budget is 315,Money,315
My home Phitsanulok is Phitsanulok,Location,Phitsanulok
In Hualien County right now,Location,Hualien County
